content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
喜欢，我已经回购两次了，粉色特显少女感，且特别适合新手使用，不会打腮红也不怕出现浓厚妆容呀！买买买，用完还买它，大爱！！！,2024-04-04 14:00:06,湖北,10#野桃粉
content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
喜欢，我已经回购两次了，粉色特显少女感，且特别适合新手使用，不会打腮红也不怕出现浓厚妆容呀！买买买，用完还买它，大爱！！！,2024-04-04 14:00:06,湖北,10#野桃粉
"上妆效果：很好，不晕染，很好用 持久情况：很持久。
颜色很喜欢，适合淡妆，新手也会很友好。不会浮粉。小小的一瓶很精致，方便携带，补妆也很方便。",2024-04-17 11:18:57,北京,02#八月杏
content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
喜欢，我已经回购两次了，粉色特显少女感，且特别适合新手使用，不会打腮红也不怕出现浓厚妆容呀！买买买，用完还买它，大爱！！！,2024-04-04 14:00:06,湖北,10#野桃粉
"上妆效果：很好，不晕染，很好用 持久情况：很持久。
颜色很喜欢，适合淡妆，新手也会很友好。不会浮粉。小小的一瓶很精致，方便携带，补妆也很方便。",2024-04-17 11:18:57,北京,02#八月杏
粉质压的很实，不飞粉，很细腻哦，收缩色很修饰脸型，日期很新鲜，很适合日常，百搭款，送了小刷子，出门带着很方便，这个比02色感觉更端庄一点,2024-04-07 21:45:47,陕西,08#淡烟玫
content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
喜欢，我已经回购两次了，粉色特显少女感，且特别适合新手使用，不会打腮红也不怕出现浓厚妆容呀！买买买，用完还买它，大爱！！！,2024-04-04 14:00:06,湖北,10#野桃粉
"上妆效果：很好，不晕染，很好用 持久情况：很持久。
颜色很喜欢，适合淡妆，新手也会很友好。不会浮粉。小小的一瓶很精致，方便携带，补妆也很方便。",2024-04-17 11:18:57,北京,02#八月杏
粉质压的很实，不飞粉，很细腻哦，收缩色很修饰脸型，日期很新鲜，很适合日常，百搭款，送了小刷子，出门带着很方便，这个比02色感觉更端庄一点,2024-04-07 21:45:47,陕西,08#淡烟玫
腮红的颜色不夸张，质地也很细腻，使用起来很好用，使用腮红，可以让人看起来气色不错的样子，这个颜色却又很低调，还是很不错的。,2024-03-31 08:58:48,北京,02#八月杏
content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
喜欢，我已经回购两次了，粉色特显少女感，且特别适合新手使用，不会打腮红也不怕出现浓厚妆容呀！买买买，用完还买它，大爱！！！,2024-04-04 14:00:06,湖北,10#野桃粉
"上妆效果：很好，不晕染，很好用 持久情况：很持久。
颜色很喜欢，适合淡妆，新手也会很友好。不会浮粉。小小的一瓶很精致，方便携带，补妆也很方便。",2024-04-17 11:18:57,北京,02#八月杏
粉质压的很实，不飞粉，很细腻哦，收缩色很修饰脸型，日期很新鲜，很适合日常，百搭款，送了小刷子，出门带着很方便，这个比02色感觉更端庄一点,2024-04-07 21:45:47,陕西,08#淡烟玫
腮红的颜色不夸张，质地也很细腻，使用起来很好用，使用腮红，可以让人看起来气色不错的样子，这个颜色却又很低调，还是很不错的。,2024-03-31 08:58:48,北京,02#八月杏
特别日常，最近爱上了用腮红，气色好好的，日期很新鲜，小小的也很便携，而且也不怕打多了，是个新手或者手残党&hellip;&hellip;鼻头，下巴有打一点，特别减龄,2024-04-07 21:42:28,陕西,02#八月杏
content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
喜欢，我已经回购两次了，粉色特显少女感，且特别适合新手使用，不会打腮红也不怕出现浓厚妆容呀！买买买，用完还买它，大爱！！！,2024-04-04 14:00:06,湖北,10#野桃粉
"上妆效果：很好，不晕染，很好用 持久情况：很持久。
颜色很喜欢，适合淡妆，新手也会很友好。不会浮粉。小小的一瓶很精致，方便携带，补妆也很方便。",2024-04-17 11:18:57,北京,02#八月杏
粉质压的很实，不飞粉，很细腻哦，收缩色很修饰脸型，日期很新鲜，很适合日常，百搭款，送了小刷子，出门带着很方便，这个比02色感觉更端庄一点,2024-04-07 21:45:47,陕西,08#淡烟玫
腮红的颜色不夸张，质地也很细腻，使用起来很好用，使用腮红，可以让人看起来气色不错的样子，这个颜色却又很低调，还是很不错的。,2024-03-31 08:58:48,北京,02#八月杏
特别日常，最近爱上了用腮红，气色好好的，日期很新鲜，小小的也很便携，而且也不怕打多了，是个新手或者手残党&hellip;&hellip;鼻头，下巴有打一点，特别减龄,2024-04-07 21:42:28,陕西,02#八月杏
"腮红收到了，质量很好，很喜欢，颜色也还行
💌终于对它下手了，颜值是真的没话说❤，材质很好，物美价廉，趁活动赶紧囤起来东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！",2024-04-05 19:51:21,广东,01#胭脂醉
content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
喜欢，我已经回购两次了，粉色特显少女感，且特别适合新手使用，不会打腮红也不怕出现浓厚妆容呀！买买买，用完还买它，大爱！！！,2024-04-04 14:00:06,湖北,10#野桃粉
"上妆效果：很好，不晕染，很好用 持久情况：很持久。
颜色很喜欢，适合淡妆，新手也会很友好。不会浮粉。小小的一瓶很精致，方便携带，补妆也很方便。",2024-04-17 11:18:57,北京,02#八月杏
粉质压的很实，不飞粉，很细腻哦，收缩色很修饰脸型，日期很新鲜，很适合日常，百搭款，送了小刷子，出门带着很方便，这个比02色感觉更端庄一点,2024-04-07 21:45:47,陕西,08#淡烟玫
腮红的颜色不夸张，质地也很细腻，使用起来很好用，使用腮红，可以让人看起来气色不错的样子，这个颜色却又很低调，还是很不错的。,2024-03-31 08:58:48,北京,02#八月杏
特别日常，最近爱上了用腮红，气色好好的，日期很新鲜，小小的也很便携，而且也不怕打多了，是个新手或者手残党&hellip;&hellip;鼻头，下巴有打一点，特别减龄,2024-04-07 21:42:28,陕西,02#八月杏
"腮红收到了，质量很好，很喜欢，颜色也还行
💌终于对它下手了，颜值是真的没话说❤，材质很好，物美价廉，趁活动赶紧囤起来东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！",2024-04-05 19:51:21,广东,01#胭脂醉
"这个真的太🉑了，🎁包装很精美，宝贝做工比较精细，商家特别好❤，有问题都及时处理👍，确实是一次相当满意的网购，还会再来的😘
腮红买一送一还是很划算的，春晓橘这个颜色还没拆封，之后用了再来追评",2024-04-05 19:54:52,广东,09#春晓橘
content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
喜欢，我已经回购两次了，粉色特显少女感，且特别适合新手使用，不会打腮红也不怕出现浓厚妆容呀！买买买，用完还买它，大爱！！！,2024-04-04 14:00:06,湖北,10#野桃粉
"上妆效果：很好，不晕染，很好用 持久情况：很持久。
颜色很喜欢，适合淡妆，新手也会很友好。不会浮粉。小小的一瓶很精致，方便携带，补妆也很方便。",2024-04-17 11:18:57,北京,02#八月杏
粉质压的很实，不飞粉，很细腻哦，收缩色很修饰脸型，日期很新鲜，很适合日常，百搭款，送了小刷子，出门带着很方便，这个比02色感觉更端庄一点,2024-04-07 21:45:47,陕西,08#淡烟玫
腮红的颜色不夸张，质地也很细腻，使用起来很好用，使用腮红，可以让人看起来气色不错的样子，这个颜色却又很低调，还是很不错的。,2024-03-31 08:58:48,北京,02#八月杏
特别日常，最近爱上了用腮红，气色好好的，日期很新鲜，小小的也很便携，而且也不怕打多了，是个新手或者手残党&hellip;&hellip;鼻头，下巴有打一点，特别减龄,2024-04-07 21:42:28,陕西,02#八月杏
"腮红收到了，质量很好，很喜欢，颜色也还行
💌终于对它下手了，颜值是真的没话说❤，材质很好，物美价廉，趁活动赶紧囤起来东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！",2024-04-05 19:51:21,广东,01#胭脂醉
"这个真的太🉑了，🎁包装很精美，宝贝做工比较精细，商家特别好❤，有问题都及时处理👍，确实是一次相当满意的网购，还会再来的😘
腮红买一送一还是很划算的，春晓橘这个颜色还没拆封，之后用了再来追评",2024-04-05 19:54:52,广东,09#春晓橘
用了有一段时间了，这个颜色很实用，而且我觉得腮红泥比粉饼状腮红好掌握，可以直接上手涂，很方便哇。价格合理，配送给力，继续支持,2024-04-14 00:25:35,北京,02#八月杏
content,creationtime,location,productcolor
还可以的，已经第二次回购了，价格亲民，而且颜色淡淡的，新手用特别合适，不会出现浓厚妆容，粉色氛围感拉满，特显少女时代哦！！！！,2024-04-04 13:58:19,湖北,09#春晓橘
喜欢，我已经回购两次了，粉色特显少女感，且特别适合新手使用，不会打腮红也不怕出现浓厚妆容呀！买买买，用完还买它，大爱！！！,2024-04-04 14:00:06,湖北,10#野桃粉
"上妆效果：很好，不晕染，很好用 持久情况：很持久。
颜色很喜欢，适合淡妆，新手也会很友好。不会浮粉。小小的一瓶很精致，方便携带，补妆也很方便。",2024-04-17 11:18:57,北京,02#八月杏
粉质压的很实，不飞粉，很细腻哦，收缩色很修饰脸型，日期很新鲜，很适合日常，百搭款，送了小刷子，出门带着很方便，这个比02色感觉更端庄一点,2024-04-07 21:45:47,陕西,08#淡烟玫
腮红的颜色不夸张，质地也很细腻，使用起来很好用，使用腮红，可以让人看起来气色不错的样子，这个颜色却又很低调，还是很不错的。,2024-03-31 08:58:48,北京,02#八月杏
特别日常，最近爱上了用腮红，气色好好的，日期很新鲜，小小的也很便携，而且也不怕打多了，是个新手或者手残党&hellip;&hellip;鼻头，下巴有打一点，特别减龄,2024-04-07 21:42:28,陕西,02#八月杏
"腮红收到了，质量很好，很喜欢，颜色也还行
💌终于对它下手了，颜值是真的没话说❤，材质很好，物美价廉，趁活动赶紧囤起来东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！",2024-04-05 19:51:21,广东,01#胭脂醉
"这个真的太🉑了，🎁包装很精美，宝贝做工比较精细，商家特别好❤，有问题都及时处理👍，确实是一次相当满意的网购，还会再来的😘
腮红买一送一还是很划算的，春晓橘这个颜色还没拆封，之后用了再来追评",2024-04-05 19:54:52,广东,09#春晓橘
用了有一段时间了，这个颜色很实用，而且我觉得腮红泥比粉饼状腮红好掌握，可以直接上手涂，很方便哇。价格合理，配送给力，继续支持,2024-04-14 00:25:35,北京,02#八月杏
