content,creationtime,location,productcolor
用完黑色试用装，发现粉色更适合一级，客服又联系我换了粉色款，也给了试用装，很细腻，试用装也很耐用，用了好久还没用完。哈哈。,2024-03-22 09:20:34,河南,⭐第3代-P02自然百搭(干皮/混干)
content,creationtime,location,productcolor
用完黑色试用装，发现粉色更适合一级，客服又联系我换了粉色款，也给了试用装，很细腻，试用装也很耐用，用了好久还没用完。哈哈。,2024-03-22 09:20:34,河南,⭐第3代-P02自然百搭(干皮/混干)
这是我第一次用卡姿兰的粉底液，说实话，真的有被惊艳到，质地很细，颜色自然，这段时间我干皮多，但是用了不卡粉，也用了好久才来评价。,2024-04-14 22:58:09,四川,⭐【干皮推荐】小奶猫02#亮肤色
content,creationtime,location,productcolor
用完黑色试用装，发现粉色更适合一级，客服又联系我换了粉色款，也给了试用装，很细腻，试用装也很耐用，用了好久还没用完。哈哈。,2024-03-22 09:20:34,河南,⭐第3代-P02自然百搭(干皮/混干)
这是我第一次用卡姿兰的粉底液，说实话，真的有被惊艳到，质地很细，颜色自然，这段时间我干皮多，但是用了不卡粉，也用了好久才来评价。,2024-04-14 22:58:09,四川,⭐【干皮推荐】小奶猫02#亮肤色
必须配合粉扑，否则不太好服帖，粉扑如果经过水润下，会更服帖，底妆效果会更好的，一大瓶感觉可以总好久好久，价格也很实惠的，,2024-03-21 11:55:26,北京,【干皮推荐】小奶猫01#玉瓷色
content,creationtime,location,productcolor
用完黑色试用装，发现粉色更适合一级，客服又联系我换了粉色款，也给了试用装，很细腻，试用装也很耐用，用了好久还没用完。哈哈。,2024-03-22 09:20:34,河南,⭐第3代-P02自然百搭(干皮/混干)
这是我第一次用卡姿兰的粉底液，说实话，真的有被惊艳到，质地很细，颜色自然，这段时间我干皮多，但是用了不卡粉，也用了好久才来评价。,2024-04-14 22:58:09,四川,⭐【干皮推荐】小奶猫02#亮肤色
必须配合粉扑，否则不太好服帖，粉扑如果经过水润下，会更服帖，底妆效果会更好的，一大瓶感觉可以总好久好久，价格也很实惠的，,2024-03-21 11:55:26,北京,【干皮推荐】小奶猫01#玉瓷色
这个卡姿兰时刻沁润粉底液，用起来真的很不错！质地轻薄，上脸后很容易就能推开，不会有厚重感。而且，它的保湿效果也很好，用了一整天脸也不会觉得干。遮瑕力也过得去，一些小瑕疵都能遮住。最重要的是，它能让肤色看起来很自然，不会假白。价格也合理，性价比高。推荐给大家，这个粉底液，真心值得尝试！,2024-03-28 20:19:40,北京,⭐第3代-P02自然百搭(干皮/混干)
content,creationtime,location,productcolor
用完黑色试用装，发现粉色更适合一级，客服又联系我换了粉色款，也给了试用装，很细腻，试用装也很耐用，用了好久还没用完。哈哈。,2024-03-22 09:20:34,河南,⭐第3代-P02自然百搭(干皮/混干)
这是我第一次用卡姿兰的粉底液，说实话，真的有被惊艳到，质地很细，颜色自然，这段时间我干皮多，但是用了不卡粉，也用了好久才来评价。,2024-04-14 22:58:09,四川,⭐【干皮推荐】小奶猫02#亮肤色
必须配合粉扑，否则不太好服帖，粉扑如果经过水润下，会更服帖，底妆效果会更好的，一大瓶感觉可以总好久好久，价格也很实惠的，,2024-03-21 11:55:26,北京,【干皮推荐】小奶猫01#玉瓷色
这个卡姿兰时刻沁润粉底液，用起来真的很不错！质地轻薄，上脸后很容易就能推开，不会有厚重感。而且，它的保湿效果也很好，用了一整天脸也不会觉得干。遮瑕力也过得去，一些小瑕疵都能遮住。最重要的是，它能让肤色看起来很自然，不会假白。价格也合理，性价比高。推荐给大家，这个粉底液，真心值得尝试！,2024-03-28 20:19:40,北京,⭐第3代-P02自然百搭(干皮/混干)
已经是回购多次了，黑黄皮的人，美白必备佳品，价格也很赞。很容易就能推开，不会干，也不会假白，感觉很自然。质地非常细腻，遮瑕效果也很好。,2024-03-30 23:47:29,山东,⭐【干皮推荐】小奶猫02#亮肤色
content,creationtime,location,productcolor
用完黑色试用装，发现粉色更适合一级，客服又联系我换了粉色款，也给了试用装，很细腻，试用装也很耐用，用了好久还没用完。哈哈。,2024-03-22 09:20:34,河南,⭐第3代-P02自然百搭(干皮/混干)
这是我第一次用卡姿兰的粉底液，说实话，真的有被惊艳到，质地很细，颜色自然，这段时间我干皮多，但是用了不卡粉，也用了好久才来评价。,2024-04-14 22:58:09,四川,⭐【干皮推荐】小奶猫02#亮肤色
必须配合粉扑，否则不太好服帖，粉扑如果经过水润下，会更服帖，底妆效果会更好的，一大瓶感觉可以总好久好久，价格也很实惠的，,2024-03-21 11:55:26,北京,【干皮推荐】小奶猫01#玉瓷色
这个卡姿兰时刻沁润粉底液，用起来真的很不错！质地轻薄，上脸后很容易就能推开，不会有厚重感。而且，它的保湿效果也很好，用了一整天脸也不会觉得干。遮瑕力也过得去，一些小瑕疵都能遮住。最重要的是，它能让肤色看起来很自然，不会假白。价格也合理，性价比高。推荐给大家，这个粉底液，真心值得尝试！,2024-03-28 20:19:40,北京,⭐第3代-P02自然百搭(干皮/混干)
已经是回购多次了，黑黄皮的人，美白必备佳品，价格也很赞。很容易就能推开，不会干，也不会假白，感觉很自然。质地非常细腻，遮瑕效果也很好。,2024-03-30 23:47:29,山东,⭐【干皮推荐】小奶猫02#亮肤色
好久之前闺蜜推荐的卡姿兰小夜猫，一直没有入手，正好粉底液快用完了想着买个小夜猫试一试，真的是给我了个很大的惊喜，这么平价的粉底液竟然这么好用，乳状似的粉底液特别好推开，薄薄的特别服帖，瓶子设计也很nice，基本上挤一泵就够用了，有时候不够用就再多挤一点，体验感极佳。,2024-03-23 10:51:17,北京,⭐第3代-P02自然百搭(油皮/混油)
content,creationtime,location,productcolor
用完黑色试用装，发现粉色更适合一级，客服又联系我换了粉色款，也给了试用装，很细腻，试用装也很耐用，用了好久还没用完。哈哈。,2024-03-22 09:20:34,河南,⭐第3代-P02自然百搭(干皮/混干)
这是我第一次用卡姿兰的粉底液，说实话，真的有被惊艳到，质地很细，颜色自然，这段时间我干皮多，但是用了不卡粉，也用了好久才来评价。,2024-04-14 22:58:09,四川,⭐【干皮推荐】小奶猫02#亮肤色
必须配合粉扑，否则不太好服帖，粉扑如果经过水润下，会更服帖，底妆效果会更好的，一大瓶感觉可以总好久好久，价格也很实惠的，,2024-03-21 11:55:26,北京,【干皮推荐】小奶猫01#玉瓷色
这个卡姿兰时刻沁润粉底液，用起来真的很不错！质地轻薄，上脸后很容易就能推开，不会有厚重感。而且，它的保湿效果也很好，用了一整天脸也不会觉得干。遮瑕力也过得去，一些小瑕疵都能遮住。最重要的是，它能让肤色看起来很自然，不会假白。价格也合理，性价比高。推荐给大家，这个粉底液，真心值得尝试！,2024-03-28 20:19:40,北京,⭐第3代-P02自然百搭(干皮/混干)
已经是回购多次了，黑黄皮的人，美白必备佳品，价格也很赞。很容易就能推开，不会干，也不会假白，感觉很自然。质地非常细腻，遮瑕效果也很好。,2024-03-30 23:47:29,山东,⭐【干皮推荐】小奶猫02#亮肤色
好久之前闺蜜推荐的卡姿兰小夜猫，一直没有入手，正好粉底液快用完了想着买个小夜猫试一试，真的是给我了个很大的惊喜，这么平价的粉底液竟然这么好用，乳状似的粉底液特别好推开，薄薄的特别服帖，瓶子设计也很nice，基本上挤一泵就够用了，有时候不够用就再多挤一点，体验感极佳。,2024-03-23 10:51:17,北京,⭐第3代-P02自然百搭(油皮/混油)
"分量还可以，泵头出液体也很顺溜，不卡粉，我是混干皮，整体用下来感受还可以。
没有很白，很贴肤，这个价位已经相当可以了！
还送了小样，还没用，",2024-04-16 10:53:01,河南,⭐第3代-P02自然百搭(干皮/混干)
content,creationtime,location,productcolor
用完黑色试用装，发现粉色更适合一级，客服又联系我换了粉色款，也给了试用装，很细腻，试用装也很耐用，用了好久还没用完。哈哈。,2024-03-22 09:20:34,河南,⭐第3代-P02自然百搭(干皮/混干)
这是我第一次用卡姿兰的粉底液，说实话，真的有被惊艳到，质地很细，颜色自然，这段时间我干皮多，但是用了不卡粉，也用了好久才来评价。,2024-04-14 22:58:09,四川,⭐【干皮推荐】小奶猫02#亮肤色
必须配合粉扑，否则不太好服帖，粉扑如果经过水润下，会更服帖，底妆效果会更好的，一大瓶感觉可以总好久好久，价格也很实惠的，,2024-03-21 11:55:26,北京,【干皮推荐】小奶猫01#玉瓷色
这个卡姿兰时刻沁润粉底液，用起来真的很不错！质地轻薄，上脸后很容易就能推开，不会有厚重感。而且，它的保湿效果也很好，用了一整天脸也不会觉得干。遮瑕力也过得去，一些小瑕疵都能遮住。最重要的是，它能让肤色看起来很自然，不会假白。价格也合理，性价比高。推荐给大家，这个粉底液，真心值得尝试！,2024-03-28 20:19:40,北京,⭐第3代-P02自然百搭(干皮/混干)
已经是回购多次了，黑黄皮的人，美白必备佳品，价格也很赞。很容易就能推开，不会干，也不会假白，感觉很自然。质地非常细腻，遮瑕效果也很好。,2024-03-30 23:47:29,山东,⭐【干皮推荐】小奶猫02#亮肤色
好久之前闺蜜推荐的卡姿兰小夜猫，一直没有入手，正好粉底液快用完了想着买个小夜猫试一试，真的是给我了个很大的惊喜，这么平价的粉底液竟然这么好用，乳状似的粉底液特别好推开，薄薄的特别服帖，瓶子设计也很nice，基本上挤一泵就够用了，有时候不够用就再多挤一点，体验感极佳。,2024-03-23 10:51:17,北京,⭐第3代-P02自然百搭(油皮/混油)
"分量还可以，泵头出液体也很顺溜，不卡粉，我是混干皮，整体用下来感受还可以。
没有很白，很贴肤，这个价位已经相当可以了！
还送了小样，还没用，",2024-04-16 10:53:01,河南,⭐第3代-P02自然百搭(干皮/混干)
