content,creationtime,location,productcolor
这个眼线笔很细一支，但拿手上很有重量，手感好。笔尖很细，很好画。平时都是素颜画下眉毛眼线和口红就上班，没做其他处理，比较容易蹭掉，下班回家眼线可能就没剩多少了,2024-04-04 12:34:58,江西,⭐️【推荐】【极细】01自然茶黑
content,creationtime,location,productcolor
这个眼线笔很细一支，但拿手上很有重量，手感好。笔尖很细，很好画。平时都是素颜画下眉毛眼线和口红就上班，没做其他处理，比较容易蹭掉，下班回家眼线可能就没剩多少了,2024-04-04 12:34:58,江西,⭐️【推荐】【极细】01自然茶黑
货已收到，包装严实，一直用小奥丁眼线笔，外观好看，笔尖很细，化着容易，不晕妆，不脱妆，选的棕色化出来很自然，新手很受用，,2024-04-16 15:58:40,辽宁,⭐️【推荐】02棕色-自然
content,creationtime,location,productcolor
这个眼线笔很细一支，但拿手上很有重量，手感好。笔尖很细，很好画。平时都是素颜画下眉毛眼线和口红就上班，没做其他处理，比较容易蹭掉，下班回家眼线可能就没剩多少了,2024-04-04 12:34:58,江西,⭐️【推荐】【极细】01自然茶黑
货已收到，包装严实，一直用小奥丁眼线笔，外观好看，笔尖很细，化着容易，不晕妆，不脱妆，选的棕色化出来很自然，新手很受用，,2024-04-16 15:58:40,辽宁,⭐️【推荐】02棕色-自然
眼线笔的颜色很好，看出水很流畅，一点也不晕染。我早上上班的时候涂一直到下班的时候回家看起来蛮好的，基本上没有晕染非常喜欢推荐推荐,2024-04-15 20:45:53,湖北,03红棕色
content,creationtime,location,productcolor
这个眼线笔很细一支，但拿手上很有重量，手感好。笔尖很细，很好画。平时都是素颜画下眉毛眼线和口红就上班，没做其他处理，比较容易蹭掉，下班回家眼线可能就没剩多少了,2024-04-04 12:34:58,江西,⭐️【推荐】【极细】01自然茶黑
货已收到，包装严实，一直用小奥丁眼线笔，外观好看，笔尖很细，化着容易，不晕妆，不脱妆，选的棕色化出来很自然，新手很受用，,2024-04-16 15:58:40,辽宁,⭐️【推荐】02棕色-自然
眼线笔的颜色很好，看出水很流畅，一点也不晕染。我早上上班的时候涂一直到下班的时候回家看起来蛮好的，基本上没有晕染非常喜欢推荐推荐,2024-04-15 20:45:53,湖北,03红棕色
"我买的细头，很好用。
产品质感：没毛病
上妆技巧：随便用
显色程度：易上色
防脱效果：防水，不脱妆
其他特色：除了好用，没啥特色。
价格实惠，朋友推荐给我，买来试试，没想到效果挺好",2024-03-29 21:52:18,四川,【极细】03 奶茶浅棕
content,creationtime,location,productcolor
这个眼线笔很细一支，但拿手上很有重量，手感好。笔尖很细，很好画。平时都是素颜画下眉毛眼线和口红就上班，没做其他处理，比较容易蹭掉，下班回家眼线可能就没剩多少了,2024-04-04 12:34:58,江西,⭐️【推荐】【极细】01自然茶黑
货已收到，包装严实，一直用小奥丁眼线笔，外观好看，笔尖很细，化着容易，不晕妆，不脱妆，选的棕色化出来很自然，新手很受用，,2024-04-16 15:58:40,辽宁,⭐️【推荐】02棕色-自然
眼线笔的颜色很好，看出水很流畅，一点也不晕染。我早上上班的时候涂一直到下班的时候回家看起来蛮好的，基本上没有晕染非常喜欢推荐推荐,2024-04-15 20:45:53,湖北,03红棕色
"我买的细头，很好用。
产品质感：没毛病
上妆技巧：随便用
显色程度：易上色
防脱效果：防水，不脱妆
其他特色：除了好用，没啥特色。
价格实惠，朋友推荐给我，买来试试，没想到效果挺好",2024-03-29 21:52:18,四川,【极细】03 奶茶浅棕
第一次购买.价格比较合理，然后真的很细很细，画眼线的时候很方面，很好上手，颜色也很好看，不是特别特别黑，很自然。还有不容易脱妆。,2024-04-09 11:49:49,贵州,⭐️【推荐】【极细】01自然茶黑
content,creationtime,location,productcolor
这个眼线笔很细一支，但拿手上很有重量，手感好。笔尖很细，很好画。平时都是素颜画下眉毛眼线和口红就上班，没做其他处理，比较容易蹭掉，下班回家眼线可能就没剩多少了,2024-04-04 12:34:58,江西,⭐️【推荐】【极细】01自然茶黑
货已收到，包装严实，一直用小奥丁眼线笔，外观好看，笔尖很细，化着容易，不晕妆，不脱妆，选的棕色化出来很自然，新手很受用，,2024-04-16 15:58:40,辽宁,⭐️【推荐】02棕色-自然
眼线笔的颜色很好，看出水很流畅，一点也不晕染。我早上上班的时候涂一直到下班的时候回家看起来蛮好的，基本上没有晕染非常喜欢推荐推荐,2024-04-15 20:45:53,湖北,03红棕色
"我买的细头，很好用。
产品质感：没毛病
上妆技巧：随便用
显色程度：易上色
防脱效果：防水，不脱妆
其他特色：除了好用，没啥特色。
价格实惠，朋友推荐给我，买来试试，没想到效果挺好",2024-03-29 21:52:18,四川,【极细】03 奶茶浅棕
第一次购买.价格比较合理，然后真的很细很细，画眼线的时候很方面，很好上手，颜色也很好看，不是特别特别黑，很自然。还有不容易脱妆。,2024-04-09 11:49:49,贵州,⭐️【推荐】【极细】01自然茶黑
包装好，东西小巧精致，简单易画，颜色饱满持久，不晕染，出水很流畅，勾勒线条顺滑，新手老手都能轻松驾驭，是一款很好用的产品,2024-03-28 13:26:29,新疆,⭐️【推荐】01黑色-放大双眼
content,creationtime,location,productcolor
这个眼线笔很细一支，但拿手上很有重量，手感好。笔尖很细，很好画。平时都是素颜画下眉毛眼线和口红就上班，没做其他处理，比较容易蹭掉，下班回家眼线可能就没剩多少了,2024-04-04 12:34:58,江西,⭐️【推荐】【极细】01自然茶黑
