content,creationtime,location,productcolor
"这个已经是买的第二盒了，这个色号消肿很好，
显色度也很高，上色均匀，做工精细，易于上
手，易于清洗，质地细腻，持久不脱妆，推荐推
荐！",2024-04-04 15:26:58,安徽,温柔#35烤奶茶色 单色 
content,creationtime,location,productcolor
"这个已经是买的第二盒了，这个色号消肿很好，
显色度也很高，上色均匀，做工精细，易于上
手，易于清洗，质地细腻，持久不脱妆，推荐推
荐！",2024-04-04 15:26:58,安徽,温柔#35烤奶茶色 单色 
"细闪#03蜜桃色 单色，2g
快递物流速度很快，东西到手上后外观上看很惊艳也很小巧，特别适合携带，上妆很后均匀服帖，带细闪，也很自然，很适合日常的妆容。",2024-04-12 22:50:45,重庆,细闪#03蜜桃色 单色 
content,creationtime,location,productcolor
"这个已经是买的第二盒了，这个色号消肿很好，
显色度也很高，上色均匀，做工精细，易于上
手，易于清洗，质地细腻，持久不脱妆，推荐推
荐！",2024-04-04 15:26:58,安徽,温柔#35烤奶茶色 单色 
"细闪#03蜜桃色 单色，2g
快递物流速度很快，东西到手上后外观上看很惊艳也很小巧，特别适合携带，上妆很后均匀服帖，带细闪，也很自然，很适合日常的妆容。",2024-04-12 22:50:45,重庆,细闪#03蜜桃色 单色 
本来是凑单买的，搜了下是大热门色就买了，实际用了发现很惊喜好用，当眼影是低调的大地消肿色，当腮红是收缩色，很能修饰脸型，非常不错,2024-04-04 20:23:00,浙江,温柔#35烤奶茶色 单色 
content,creationtime,location,productcolor
"这个已经是买的第二盒了，这个色号消肿很好，
显色度也很高，上色均匀，做工精细，易于上
手，易于清洗，质地细腻，持久不脱妆，推荐推
荐！",2024-04-04 15:26:58,安徽,温柔#35烤奶茶色 单色 
"细闪#03蜜桃色 单色，2g
快递物流速度很快，东西到手上后外观上看很惊艳也很小巧，特别适合携带，上妆很后均匀服帖，带细闪，也很自然，很适合日常的妆容。",2024-04-12 22:50:45,重庆,细闪#03蜜桃色 单色 
