content,creationtime,location,productcolor
"一直买的大众色号999，这次老公买的礼物720色号很喜欢，持久性很好，很润，薄涂厚涂都好看，非常适合，我，赠品也挺多的，香水也很好闻。其他还没用，用了再来追评，好评，买买买
产品颜色：好
持久效果：好
滋润效果：好
产品质感：好",2024-04-16 16:31:52,陕西,720 本命 豆沙红棕 丝绒
content,creationtime,location,productcolor
"一直买的大众色号999，这次老公买的礼物720色号很喜欢，持久性很好，很润，薄涂厚涂都好看，非常适合，我，赠品也挺多的，香水也很好闻。其他还没用，用了再来追评，好评，买买买
产品颜色：好
持久效果：好
滋润效果：好
产品质感：好",2024-04-16 16:31:52,陕西,720 本命 豆沙红棕 丝绒
给妈妈买的生日礼物，媳妇给挑的颜色后来发现跟妈妈以前用的色号是一样的，颜色庄重百搭衣服，什么年龄段都很适合，品牌的力量让家人很开心还送了好多香水。,2024-04-03 15:59:00,内蒙古,999 传奇红唇 缎光
content,creationtime,location,productcolor
"一直买的大众色号999，这次老公买的礼物720色号很喜欢，持久性很好，很润，薄涂厚涂都好看，非常适合，我，赠品也挺多的，香水也很好闻。其他还没用，用了再来追评，好评，买买买
产品颜色：好
持久效果：好
滋润效果：好
产品质感：好",2024-04-16 16:31:52,陕西,720 本命 豆沙红棕 丝绒
给妈妈买的生日礼物，媳妇给挑的颜色后来发现跟妈妈以前用的色号是一样的，颜色庄重百搭衣服，什么年龄段都很适合，品牌的力量让家人很开心还送了好多香水。,2024-04-03 15:59:00,内蒙古,999 传奇红唇 缎光
"不出错不挑人真的惊艳！
2024新款迪奥烈焰藍金口红经城100-杏仁奶茶，乖巧可爱，可盐可甜的裸色系！很透合日常，不化妆也可以轻松驾驭的一支
是奶茶那个调调了。
灰粉调加一丝奶咖调
比较适合日常通動擦",2024-04-16 21:31:29,浙江,100 不妆 杏仁奶茶 丝绒
content,creationtime,location,productcolor
"一直买的大众色号999，这次老公买的礼物720色号很喜欢，持久性很好，很润，薄涂厚涂都好看，非常适合，我，赠品也挺多的，香水也很好闻。其他还没用，用了再来追评，好评，买买买
产品颜色：好
持久效果：好
滋润效果：好
产品质感：好",2024-04-16 16:31:52,陕西,720 本命 豆沙红棕 丝绒
给妈妈买的生日礼物，媳妇给挑的颜色后来发现跟妈妈以前用的色号是一样的，颜色庄重百搭衣服，什么年龄段都很适合，品牌的力量让家人很开心还送了好多香水。,2024-04-03 15:59:00,内蒙古,999 传奇红唇 缎光
"不出错不挑人真的惊艳！
2024新款迪奥烈焰藍金口红经城100-杏仁奶茶，乖巧可爱，可盐可甜的裸色系！很透合日常，不化妆也可以轻松驾驭的一支
是奶茶那个调调了。
灰粉调加一丝奶咖调
比较适合日常通動擦",2024-04-16 21:31:29,浙江,100 不妆 杏仁奶茶 丝绒
新品的颜色好好看！很温柔的颜色，很适合春天，滋润不干燥，虽然是雾面丝绒的，但是真的一点都不干，持久力也很好，还送了好多小样～,2024-03-25 17:35:24,浙江,【新色】217 花冠 薄纱裸粉 丝绒
content,creationtime,location,productcolor
"一直买的大众色号999，这次老公买的礼物720色号很喜欢，持久性很好，很润，薄涂厚涂都好看，非常适合，我，赠品也挺多的，香水也很好闻。其他还没用，用了再来追评，好评，买买买
产品颜色：好
持久效果：好
滋润效果：好
产品质感：好",2024-04-16 16:31:52,陕西,720 本命 豆沙红棕 丝绒
给妈妈买的生日礼物，媳妇给挑的颜色后来发现跟妈妈以前用的色号是一样的，颜色庄重百搭衣服，什么年龄段都很适合，品牌的力量让家人很开心还送了好多香水。,2024-04-03 15:59:00,内蒙古,999 传奇红唇 缎光
